variable,start_date,end_date,n_obs,n_total,missing_pct
policyrates__CHLRLPR1 Index,2019-08-20,2025-12-22,77,9514,99.19
policyrates__RBATCTR Index,1990-01-22,2025-12-09,302,9514,96.83
repo__ESTR3MA Index,2020-01-02,2025-12-31,1535,9514,83.87
repo__SOFRRATE Index,2018-04-02,2025-12-31,1936,9514,79.65
fx_ov_iv__USDCNHVON BGN Curncy,2011-02-23,2025-12-31,3836,9514,59.68
fx_1m__CNH1M BGN Curncy,2010-08-26,2025-12-31,3986,9514,58.1
bond_yields__GTCNY2Y Govt,2005-11-10,2025-12-31,4031,9514,57.63
bond_yields__GTCNY10Y Govt,2005-11-14,2025-12-31,4577,9514,51.89
bond_yields__GTCNY5Y Govt,2005-11-10,2025-12-31,4748,9514,50.09
dxy__BBDXY Index,2004-12-31,2025-12-31,5381,9514,43.44
repo__CNRE07 Index,2003-10-24,2025-12-31,5475,9514,42.45
fx_ov_iv__AUDUSDVON BGN Curncy,1998-08-05,2025-12-31,5518,9514,42.0
cesi__CESICNY Index,2004-01-01,2025-12-31,5683,9514,40.27
policyrates__BOJDTR Index,1990-01-05,2025-12-31,5798,9514,39.06
cesi__CESIUSD Index,2003-01-01,2025-12-31,5920,9514,37.78
cesi__CESIEUR Index,2003-01-01,2025-12-31,5920,9514,37.78
cesi__CESIJPY Index,2003-01-01,2025-12-31,5921,9514,37.77
cesi__CESIAUD Index,2003-01-01,2025-12-31,5921,9514,37.77
fx_ov_iv__USDJPYVON BGN Curncy,1998-12-14,2025-12-31,6322,9514,33.55
fx_ov_iv__EURUSDVON BGN Curncy,1999-01-07,2025-12-31,6544,9514,31.22
bond_yields__GTAUD2Y Govt,1999-11-02,2025-12-31,6796,9514,28.57
bond_yields__GTAUD5Y Govt,1999-11-02,2025-12-31,6796,9514,28.57
bond_yields__GTAUD10Y Govt,1999-11-02,2025-12-31,6797,9514,28.56
policyrates__EURR002W Index,1998-12-18,2025-12-31,6999,9514,26.43
fx_1m__EUR1M BGN Curncy,1998-12-14,2025-12-31,7053,9514,25.87
repo__MUTKCALM Index,1992-10-09,2025-12-30,8155,9514,14.28
bond_yields__GTJPY2Y Govt,1994-02-09,2025-12-31,8213,9514,13.67
bond_yields__GTJPY5Y Govt,1991-01-03,2025-12-31,8988,9514,5.53
us_eq__SPX Index,1990-01-02,2025-12-31,9067,9514,4.7
bond_yields__GTJPY10Y Govt,1990-01-02,2025-12-31,9079,9514,4.57
us_eq__VIX Index,1990-01-02,2025-12-31,9091,9514,4.45
fx_1m__AUD1M BGN Curncy,1990-01-02,2025-12-31,9103,9514,4.32
bond_yields__GTEUR2Y Govt,1990-09-18,2025-12-31,9121,9514,4.13
bond_yields__GTEUR5Y Govt,1990-08-07,2025-12-31,9135,9514,3.98
bond_yields__GTEUR10Y Govt,1990-08-07,2025-12-31,9159,9514,3.73
policyrates__FDTR Index,1990-01-02,2025-12-31,9294,9514,2.31
move__MOVE Index,1990-01-01,2025-12-31,9309,9514,2.15
fx_1m__JPY1M BGN Curncy,1990-01-01,2025-12-31,9370,9514,1.51
bond_yields__GTUSD2Y Govt,1990-01-02,2025-12-31,9374,9514,1.47
bond_yields__GTUSD5Y Govt,1990-01-02,2025-12-31,9377,9514,1.44
bond_yields__GTUSD10Y Govt,1990-01-02,2025-12-31,9377,9514,1.44
